exp	val_loss	steps	params_M	training_sec	status	description
0	3.031649	4444	1.2	600.1	keep	baseline
1	2.961273	2211	1.2	600.0	keep	DROPOUT: 0.1 -> 0.2; GRAD_ACCUM_STEPS: 1 -> 2
2	2.892536	1966	2.1	600.0	keep	N_EMBD: 192 -> 256
3	2.890997	1389	8.4	600.3	keep	N_LAYER: 2 -> 8
4	2.788655	1398	8.4	600.4	keep	DROPOUT: 0.2 -> 0.05
5	3.144421	1406	8.4	600.1	discard	LEARNING_RATE: 0.001 -> 0.002
6	2.730694	1717	4.2	600.1	keep	N_LAYER: 8 -> 4
7	2.719979	1938	8.4	600.2	keep	WARMUP_STEPS: 50 -> 20; N_LAYER: 4 -> 8
8	2.775582	1846	8.4	600.2	discard	LEARNING_RATE: 0.001 -> 0.0006; N_HEAD: 2 -> 2
9	2.864313	1396	8.4	600.4	discard	DROPOUT: 0.05 -> 0.15
10	2.749061	1739	4.2	600.3	discard	N_LAYER: 8 -> 4
11	2.902861	1197	8.4	600.2	discard	WARMUP_STEPS: 20 -> 0
12	2.780154	1408	8.4	600.1	discard	WARMUP_STEPS: 20 -> 50
13	2.726640	1647	5.2	600.1	discard	N_LAYER: 8 -> 5
14	2.757749	1526	3.1	600.0	discard	N_LAYER: 8 -> 3
15	2.719186	1336	8.4	600.2	keep	BETAS: (0.9, 0.95) -> (0.9, 0.99)
16	3.637737	747	33.6	600.7	discard	N_EMBD: 256 -> 512
17	4.587569	134	18.9	601.8	discard	BATCH_SIZE: 2 -> 16; N_EMBD: 256 -> 384
18	3.403286	182	8.4	600.1	discard	BATCH_SIZE: 2 -> 16
19	2.738488	1419	8.4	600.2	discard	WEIGHT_DECAY: 0.0 -> 0.05
